,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_degree,param_kernel,param_l2reg,param_offset,param_sigma,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03087306022644043,0.026556015014648438,0.014063975464921814,0.01415888890162619,,RBF,0.01,,0.08,"{'kernel': 'RBF', 'l2reg': 0.01, 'sigma': 0.08}",3,-0.014063975464921814,-0.01415888890162619,0.0,0.0,0.0,0.0
1,0.02737712860107422,0.02442312240600586,0.017586601747846882,0.019348222628925268,,RBF,0.01,,0.1,"{'kernel': 'RBF', 'l2reg': 0.01, 'sigma': 0.1}",4,-0.017586601747846882,-0.019348222628925268,0.0,0.0,0.0,0.0
2,0.025567054748535156,0.02542901039123535,0.027511395772135416,0.027272751027552982,,RBF,0.01,,0.15,"{'kernel': 'RBF', 'l2reg': 0.01, 'sigma': 0.15}",11,-0.027511395772135416,-0.027272751027552982,0.0,0.0,0.0,0.0
3,0.027092933654785156,0.024491071701049805,0.013999592398646126,0.014348633040692664,,RBF,0.013,,0.08,"{'kernel': 'RBF', 'l2reg': 0.013, 'sigma': 0.08}",2,-0.013999592398646126,-0.014348633040692664,0.0,0.0,0.0,0.0
4,0.03359413146972656,0.035904884338378906,0.01816619457511562,0.020003274221366395,,RBF,0.013,,0.1,"{'kernel': 'RBF', 'l2reg': 0.013, 'sigma': 0.1}",6,-0.01816619457511562,-0.020003274221366395,0.0,0.0,0.0,0.0
5,0.026926040649414062,0.02543497085571289,0.028059582928721443,0.027733641990506833,,RBF,0.013,,0.15,"{'kernel': 'RBF', 'l2reg': 0.013, 'sigma': 0.15}",12,-0.028059582928721443,-0.027733641990506833,0.0,0.0,0.0,0.0
6,0.02596116065979004,0.028377771377563477,0.013984971513215247,0.014472782254600183,,RBF,0.015,,0.08,"{'kernel': 'RBF', 'l2reg': 0.015, 'sigma': 0.08}",1,-0.013984971513215247,-0.014472782254600183,0.0,0.0,0.0,0.0
7,0.02585768699645996,0.025937318801879883,0.01847707441503014,0.02034811172081768,,RBF,0.015,,0.1,"{'kernel': 'RBF', 'l2reg': 0.015, 'sigma': 0.1}",8,-0.01847707441503014,-0.02034811172081768,0.0,0.0,0.0,0.0
8,0.025931119918823242,0.026440143585205078,0.02834866714575644,0.027990553915306568,,RBF,0.015,,0.15,"{'kernel': 'RBF', 'l2reg': 0.015, 'sigma': 0.15}",13,-0.02834866714575644,-0.027990553915306568,0.0,0.0,0.0,0.0
9,0.026514768600463867,0.024731159210205078,0.01787716862082989,0.01999283860527148,,RBF,0.18,,0.08,"{'kernel': 'RBF', 'l2reg': 0.18, 'sigma': 0.08}",5,-0.01787716862082989,-0.01999283860527148,0.0,0.0,0.0,0.0
