,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_degree,param_kernel,param_l2reg,param_offset,param_sigma,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03279590606689453,0.04427528381347656,0.08171542014956881,0.10850435671901364,,RBF,32.0,,0.1,"{'kernel': 'RBF', 'l2reg': 32.0, 'sigma': 0.1}",23,-0.08171542014956881,-0.10850435671901364,0.0,0.0,0.0,0.0
1,0.03415989875793457,0.026301860809326172,0.16279283021935573,0.2056596389921147,,RBF,32.0,,1,"{'kernel': 'RBF', 'l2reg': 32.0, 'sigma': 1}",46,-0.16279283021935573,-0.2056596389921147,0.0,0.0,0.0,0.0
2,0.029736042022705078,0.031055927276611328,0.16799451846755972,0.21080878058930547,,RBF,32.0,,10,"{'kernel': 'RBF', 'l2reg': 32.0, 'sigma': 10}",57,-0.16799451846755972,-0.21080878058930547,0.0,0.0,0.0,0.0
3,0.026082992553710938,0.02498006820678711,0.05500557792453286,0.07559131036702757,,RBF,16.0,,0.1,"{'kernel': 'RBF', 'l2reg': 16.0, 'sigma': 0.1}",10,-0.05500557792453286,-0.07559131036702757,0.0,0.0,0.0,0.0
4,0.02951192855834961,0.027079105377197266,0.15920473915449318,0.20199131023796224,,RBF,16.0,,1,"{'kernel': 'RBF', 'l2reg': 16.0, 'sigma': 1}",44,-0.15920473915449318,-0.20199131023796224,0.0,0.0,0.0,0.0
5,0.028662919998168945,0.025933027267456055,0.16794867397559884,0.21074295200216475,,RBF,16.0,,10,"{'kernel': 'RBF', 'l2reg': 16.0, 'sigma': 10}",56,-0.16794867397559884,-0.21074295200216475,0.0,0.0,0.0,0.0
6,0.0263059139251709,0.040129899978637695,0.03765009837975976,0.052373488821616625,,RBF,8.0,,0.1,"{'kernel': 'RBF', 'l2reg': 8.0, 'sigma': 0.1}",8,-0.03765009837975976,-0.052373488821616625,0.0,0.0,0.0,0.0
7,0.033987998962402344,0.031807899475097656,0.1542559491658376,0.19691236598407727,,RBF,8.0,,1,"{'kernel': 'RBF', 'l2reg': 8.0, 'sigma': 1}",42,-0.1542559491658376,-0.19691236598407727,0.0,0.0,0.0,0.0
8,0.03001093864440918,0.026583194732666016,0.16784019879313988,0.210621435990353,,RBF,8.0,,10,"{'kernel': 'RBF', 'l2reg': 8.0, 'sigma': 10}",55,-0.16784019879313988,-0.210621435990353,0.0,0.0,0.0,0.0
9,0.026072025299072266,0.024425029754638672,0.030082430227696712,0.039685421777825594,,RBF,4.0,,0.1,"{'kernel': 'RBF', 'l2reg': 4.0, 'sigma': 0.1}",7,-0.030082430227696712,-0.039685421777825594,0.0,0.0,0.0,0.0
10,0.02994680404663086,0.026725292205810547,0.14760876658119623,0.19010319844173598,,RBF,4.0,,1,"{'kernel': 'RBF', 'l2reg': 4.0, 'sigma': 1}",38,-0.14760876658119623,-0.19010319844173598,0.0,0.0,0.0,0.0
11,0.03033590316772461,0.026428937911987305,0.16761440521655505,0.21038657637644476,,RBF,4.0,,10,"{'kernel': 'RBF', 'l2reg': 4.0, 'sigma': 10}",54,-0.16761440521655505,-0.21038657637644476,0.0,0.0,0.0,0.0
12,0.02715015411376953,0.028677701950073242,0.028041000533354513,0.0335393369800953,,RBF,2.0,,0.1,"{'kernel': 'RBF', 'l2reg': 2.0, 'sigma': 0.1}",6,-0.028041000533354513,-0.0335393369800953,0.0,0.0,0.0,0.0
13,0.03311324119567871,0.0364079475402832,0.1379682650579009,0.18030438424767692,,RBF,2.0,,1,"{'kernel': 'RBF', 'l2reg': 2.0, 'sigma': 1}",31,-0.1379682650579009,-0.18030438424767692,0.0,0.0,0.0,0.0
14,0.029700040817260742,0.025415897369384766,0.16717379007170702,0.20993722311949914,,RBF,2.0,,10,"{'kernel': 'RBF', 'l2reg': 2.0, 'sigma': 10}",53,-0.16717379007170702,-0.20993722311949914,0.0,0.0,0.0,0.0
15,0.025623083114624023,0.023694753646850586,0.027561797773564267,0.030318942777631076,,RBF,1.0,,0.1,"{'kernel': 'RBF', 'l2reg': 1.0, 'sigma': 0.1}",5,-0.027561797773564267,-0.030318942777631076,0.0,0.0,0.0,0.0
16,0.029826879501342773,0.03658103942871094,0.12353866335520143,0.1656641200083443,,RBF,1.0,,1,"{'kernel': 'RBF', 'l2reg': 1.0, 'sigma': 1}",27,-0.12353866335520143,-0.1656641200083443,0.0,0.0,0.0,0.0
17,0.03146696090698242,0.02753901481628418,0.16636006968339465,0.20911009067826733,,RBF,1.0,,10,"{'kernel': 'RBF', 'l2reg': 1.0, 'sigma': 10}",52,-0.16636006968339465,-0.20911009067826733,0.0,0.0,0.0,0.0
18,0.025749921798706055,0.036715030670166016,0.02660886083564358,0.028110462689386318,,RBF,0.5,,0.1,"{'kernel': 'RBF', 'l2reg': 0.5, 'sigma': 0.1}",4,-0.02660886083564358,-0.028110462689386318,0.0,0.0,0.0,0.0
19,0.03293204307556152,0.03615069389343262,0.10433895216594445,0.14591402556276561,,RBF,0.5,,1,"{'kernel': 'RBF', 'l2reg': 0.5, 'sigma': 1}",25,-0.10433895216594445,-0.14591402556276561,0.0,0.0,0.0,0.0
20,0.029964923858642578,0.0263369083404541,0.16497500676302004,0.20769762590536597,,RBF,0.5,,10,"{'kernel': 'RBF', 'l2reg': 0.5, 'sigma': 10}",51,-0.16497500676302004,-0.20769762590536597,0.0,0.0,0.0,0.0
