feature,abs(w*x),w*x,x,w
find ,0.006443013,0.006443013,1,0.006443013
anything ,0.006443013,-0.006443013,1,-0.006443013
large ,0.00622084,0.00622084,1,0.00622084
after ,0.00622084,0.00622084,2,0.00311042
how ,0.00622084,-0.00622084,1,-0.00622084
games ,0.00622084,-0.00622084,1,-0.00622084
date ,0.005998667,0.005998667,1,0.005998667
10,0.005998667,-0.005998667,1,-0.005998667
may ,0.005776494,-0.005776494,2,-0.002888247
both ,0.005776494,0.005776494,1,0.005776494
became ,0.005776494,0.005776494,1,0.005776494
uses ,0.005332148,0.005332148,1,0.005332148
end ,0.005332148,-0.005332148,2,-0.002666074
believe ,0.005109976,0.005109976,1,0.005109976
popular ,0.00466563,0.00466563,1,0.00466563
easy ,0.00466563,-0.00466563,1,-0.00466563
commanding ,0.00466563,0.00466563,1,0.00466563
in ,0.004443457,0.004443457,10,0.000444346
events ,0.004443457,-0.004443457,1,-0.004443457
avoids ,0.004443457,0.004443457,1,0.004443457
whether ,0.004221284,-0.004221284,1,-0.004221284
where ,0.004221284,-0.004221284,1,-0.004221284
ways ,0.004221284,0.004221284,1,0.004221284
secretly ,0.004221284,0.004221284,1,0.004221284
touches ,0.003999111,0.003999111,1,0.003999111
assigned ,0.003999111,0.003999111,2,0.001999556
us ,0.003776938,0.003776938,1,0.003776938
production ,0.003776938,-0.003776938,1,-0.003776938
little ,0.003776938,0.003776938,1,0.003776938
cut ,0.003776938,0.003776938,1,0.003776938
took ,0.003554766,0.003554766,1,0.003554766
scale ,0.003554766,-0.003554766,2,-0.001777383
resolution ,0.003554766,0.003554766,1,0.003554766
classical ,0.003554766,0.003554766,2,0.001777383
answers ,0.003554766,0.003554766,1,0.003554766
act ,0.003554766,-0.003554766,1,-0.003554766
say ,0.003332593,0.003332593,1,0.003332593
jewish ,0.003332593,0.003332593,1,0.003332593
finding ,0.003332593,0.003332593,1,0.003332593
covers ,0.003332593,-0.003332593,1,-0.003332593
open ,0.00311042,-0.00311042,1,-0.00311042
rate ,0.002888247,-0.002888247,1,-0.002888247
my ,0.002888247,0.002888247,1,0.002888247
important ,0.002888247,0.002888247,1,0.002888247
german ,0.002888247,-0.002888247,1,-0.002888247
appropriate ,0.002888247,-0.002888247,1,-0.002888247
something ,0.002666074,-0.002666074,2,-0.001333037
out ,0.002666074,0.002666074,1,0.002666074
opposed ,0.002666074,0.002666074,1,0.002666074
interviews ,0.002666074,-0.002666074,1,-0.002666074
established ,0.002666074,-0.002666074,1,-0.002666074
criminal ,0.002666074,-0.002666074,1,-0.002666074
combination ,0.002666074,-0.002666074,1,-0.002666074
that ,0.002443901,0.002443901,11,0.000222173
stellan ,0.002443901,0.002443901,1,0.002443901
resistance ,0.002443901,0.002443901,1,0.002443901
problems ,0.002443901,-0.002443901,1,-0.002443901
ambiguous ,0.002443901,-0.002443901,1,-0.002443901
them ,0.002443901,-0.002443901,1,-0.002443901
take ,0.002443901,-0.002443901,1,-0.002443901
views ,0.002221729,0.002221729,1,0.002221729
power ,0.002221729,0.002221729,1,0.002221729
learn ,0.002221729,0.002221729,1,0.002221729
fortunes ,0.002221729,-0.002221729,1,-0.002221729
followup ,0.002221729,-0.002221729,1,-0.002221729
follow ,0.002221729,-0.002221729,1,-0.002221729
calendar ,0.002221729,0.002221729,1,0.002221729
hitler ,0.001999556,-0.001999556,1,-0.001999556
harvey ,0.001999556,0.001999556,1,0.001999556
certain ,0.001999556,0.001999556,1,0.001999556
germany ,0.001999556,-0.001999556,3,-0.000666519
music ,0.001777383,0.001777383,2,0.000888691
2,0.001777383,-0.001777383,2,-0.000888691
world's ,0.001777383,-0.001777383,1,-0.001777383
starts ,0.001777383,-0.001777383,1,-0.001777383
scope ,0.001777383,-0.001777383,1,-0.001777383
limited ,0.001777383,0.001777383,1,0.001777383
interpretation ,0.001777383,0.001777383,1,0.001777383
henchmen ,0.001777383,-0.001777383,1,-0.001777383
dialog ,0.001777383,-0.001777383,1,-0.001777383
artists ,0.001777383,0.001777383,1,0.001777383
arnold's ,0.001777383,-0.001777383,1,-0.001777383
watching ,0.001777383,-0.001777383,1,-0.001777383
few ,0.001777383,0.001777383,2,0.000888691
part ,0.00155521,0.00155521,1,0.00155521
secret ,0.00155521,-0.00155521,1,-0.00155521
remained ,0.00155521,-0.00155521,1,-0.00155521
officer ,0.00155521,0.00155521,1,0.00155521
keitel ,0.00155521,0.00155521,1,0.00155521
fled ,0.00155521,-0.00155521,1,-0.00155521
filling ,0.00155521,0.00155521,1,0.00155521
clearly ,0.00155521,-0.00155521,1,-0.00155521
wartime ,0.001333037,-0.001333037,1,-0.001333037
steve ,0.001333037,-0.001333037,1,-0.001333037
shoot ,0.001333037,-0.001333037,1,-0.001333037
until ,0.001333037,-0.001333037,1,-0.001333037
superiors ,0.001333037,-0.001333037,1,-0.001333037
when ,0.001333037,0.001333037,3,0.000444346
was ,0.001333037,-0.001333037,1,-0.001333037
supported ,0.001110864,-0.001110864,1,-0.001110864
interview ,0.001110864,0.001110864,1,0.001110864
corners ,0.001110864,-0.001110864,1,-0.001110864
1947,0.001110864,-0.001110864,1,-0.001110864
who ,0.000888691,-0.000888691,4,-0.000222173
stage ,0.000888691,0.000888691,2,0.000444346
years ,0.000888691,-0.000888691,1,-0.000888691
sloppiness ,0.000888691,-0.000888691,1,-0.000888691
skarsgard ,0.000888691,0.000888691,1,0.000888691
photographs ,0.000888691,0.000888691,1,0.000888691
odd ,0.000888691,0.000888691,1,0.000888691
notice ,0.000888691,0.000888691,1,0.000888691
manipulate ,0.000888691,-0.000888691,1,-0.000888691
investigated ,0.000888691,0.000888691,1,0.000888691
hungarian ,0.000888691,-0.000888691,2,-0.000444346
criminally ,0.000888691,0.000888691,1,0.000888691
capsule ,0.000888691,0.000888691,1,0.000888691
16,0.000888691,-0.000888691,1,-0.000888691
conspiracy ,0.000888691,-0.000888691,1,-0.000888691
conductor ,0.000888691,0.000888691,4,0.000222173
nazis ,0.000888691,0.000888691,4,0.000222173
reich ,0.000666519,0.000666519,1,0.000666519
mystery ,0.000666519,-0.000666519,1,-0.000666519
interviewees ,0.000666519,-0.000666519,1,-0.000666519
fighter ,0.000666519,-0.000666519,1,-0.000666519
desk ,0.000666519,-0.000666519,1,-0.000666519
